"ZIP","TotReturns","Adj_AGI","Avg_AGI","Indx"
11420,21360,157343.72,7.37,2
11421,19420,138458.05,7.13,1.96
11422,15600,122257.05,7.84,2.06
11423,14750,108820.51,7.38,2
11426,8920,80363.22,9.01,2.2
11427,11210,89617.23,7.99,2.08
11428,9860,73574.31,7.46,2.01
11429,12640,94991.85,7.52,2.02
11430,200,1755.8,8.78,2.17
11432,27020,186315.99,6.9,1.93
11433,15080,110108.87,7.3,1.99
11434,30170,234902.38,7.79,2.05
11435,25080,177588.94,7.08,1.96
11436,8780,65590.8,7.47,2.01
11501,10370,111407.25,10.74,2.37
11507,3700,65321.65,17.65,2.87
11509,1380,50188.49,36.37,3.59
11510,17230,185328.25,10.76,2.38
11514,2470,27812.65,11.26,2.42
11516,3300,55559.82,16.84,2.82
11518,5430,67689.35,12.47,2.52
11520,22850,169682.69,7.43,2.01
11530,13710,617219,45.02,3.81
11542,13280,122516.01,9.23,2.22
11545,5970,467952.31,78.38,4.36
11548,660,11778.15,17.85,2.88
11550,27340,191186.78,6.99,1.94
11552,12490,124868.98,10,2.3
11553,13920,102301.74,7.35,1.99
11554,19310,222490.83,11.52,2.44
11557,4100,135367.94,33.02,3.5
11558,3940,40191.5,10.2,2.32
11559,3750,332432.56,88.65,4.48
11560,3380,204246.53,60.43,4.1
11561,18620,224113.46,12.04,2.49
11563,11330,130662.68,11.53,2.44
11565,4720,75325.15,15.96,2.77
11566,17950,322848.94,17.99,2.89
11568,1700,366426.03,215.54,5.37
11570,14060,319381.07,22.72,3.12
11572,15570,208653.72,13.4,2.6
11575,8690,62517.77,7.19,1.97
11576,6230,446790.3,71.72,4.27
11577,5870,180127.85,30.69,3.42
11579,2550,49898.82,19.57,2.97
11580,20760,192306.4,9.26,2.23
11581,10420,124292.76,11.93,2.48
11590,24370,207526.62,8.52,2.14
11596,5320,91791.78,17.25,2.85
11598,5870,201456.01,34.32,3.54
11691,21820,153707.87,7.04,1.95
11692,7990,57116.72,7.15,1.97
11693,5360,40532.6,7.56,2.02
11694,8180,94514.44,11.55,2.45
11697,1940,29243.52,15.07,2.71
11701,14130,108137.96,7.65,2.03
11702,7540,108779.94,14.43,2.67
11703,9030,88586.78,9.81,2.28
11704,20210,180426.26,8.93,2.19
11705,3960,61762.23,15.6,2.75
11706,31200,243336.06,7.8,2.05
11709,3450,48910.44,14.18,2.65
11710,17520,242736.9,13.85,2.63
11713,5090,43827.38,8.61,2.15
11714,12330,132893.69,10.78,2.38
11715,2340,33264.67,14.22,2.65
11716,5460,60314.03,11.05,2.4
11717,31240,245880.18,7.87,2.06
11718,1750,52266.21,29.87,3.4
11719,1630,20086.16,12.32,2.51
11720,14190,147490.7,10.39,2.34
11721,3250,83502.98,25.69,3.25
11722,18540,140758.32,7.59,2.03
11724,1710,134371.02,78.58,4.36
11725,14240,223132.23,15.67,2.75
11726,10770,79480.22,7.38,2
11727,14180,137445.32,9.69,2.27
11729,14410,130134.07,9.03,2.2
11730,7250,96039.02,13.25,2.58
11731,14730,208153.46,14.13,2.65
11732,1810,39399.93,21.77,3.08
11733,8550,395430.09,46.25,3.83
11735,16940,179942.88,10.62,2.36
11738,8140,81704.29,10.04,2.31
11740,4590,69239.92,15.08,2.71
11741,14310,166366.44,11.63,2.45
11742,6910,74995.54,10.85,2.38
11743,21830,523498.82,23.98,3.18
11746,32710,403147.39,12.32,2.51
11747,10500,375938.36,35.8,3.58
11749,1800,15513.51,8.62,2.15
11751,7530,85342.45,11.33,2.43
11752,5110,53490.7,10.47,2.35
11753,6410,291182.61,45.43,3.82
11754,9170,124877.71,13.62,2.61
11755,6080,75098.56,12.35,2.51
11756,22480,248471.65,11.05,2.4
11757,23100,210029.77,9.09,2.21
11758,28020,374471.57,13.36,2.59
11762,11480,179395.77,15.63,2.75
11763,14710,130172.23,8.85,2.18
11764,6140,111018.61,18.08,2.89
11765,320,91236.31,285.11,5.65
11766,6100,108786.51,17.83,2.88
11767,6980,102950.26,14.75,2.69
11768,10850,262361.99,24.18,3.19
