"","npi","score_spread","score_bene"
"626","1396714820",16,15
"627","1396747556",18,7
"628","1396763967",0,2
"629","1396766010",9,7
"630","1396786372",7,14
"631","1396798476",2,7
"632","1396817144",4,19
"633","1396844080",7,17
"634","1396847513",0,16
"635","1396859682",0,0
"636","1396868527",2,22
"637","1396948964",12,7
"638","1407017742",0,0
"639","1407018294",2,9
"640","1407822034",2,3
"641","1407838451",6,9
"642","1407849292",11,9
"643","1407865538",15,13
"644","1407879638",2,3
"645","1407880453",15,8
"646","1407883192",8,11
"647","1407954878",12,16
"648","1407963580",1,0
"649","1407965361",14,20
"650","1407973662",12,11
"651","1407997364",25,12
"652","1417038845",17,12
"653","1417053752",8,13
"654","1417064569",0,0
"655","1417065053",1,26
"656","1417065657",11,14
"657","1417154956",0,0
"658","1417177569",11,10
"659","1417285198",2,0
"660","1417933540",9,10
"661","1417934035",0,19
"662","1417936469",18,16
"663","1417939802",5,6
"664","1417946294",18,6
"665","1417952193",12,16
"666","1417954223",0,9
"667","1417970872",3,19
"668","1417991928",14,21
"669","1427002245",12,6
"670","1427013010",18,20
"671","1427017490",0,0
"672","1427018548",25,24
"673","1427032655",13,12
"674","1427038603",13,11
"675","1427040294",6,4
"676","1427051515",0,10
"677","1427055672",6,10
"678","1427060169",10,11
"679","1427068535",13,16
"680","1427075407",6,21
"681","1427078310",0,14
"682","1427090596",4,3
"683","1427132653",0,16
"684","1427150382",12,18
"685","1427152859",15,4
"686","1427154293",2,0
"687","1427161710",11,15
"688","1427217512",3,2
"689","1427243328",3,0
"690","1437116191",16,5
"691","1437119559",30,15
"692","1437150547",10,15
"693","1437160579",17,16
"694","1437177425",11,16
"695","1437180049",8,17
"696","1437180775",13,16
"697","1437232865",8,10
"698","1437301629",5,3
"699","1437317393",7,22
"700","1437384062",3,0
"701","1437393865",9,5
"702","1447202338",4,0
"703","1447203625",3,3
"704","1447216205",1,14
"705","1447223532",13,8
"706","1447254917",0,2
"707","1447268636",22,20
"708","1447274394",6,11
"709","1447299631",13,16
"710","1447302690",20,16
"711","1447308945",24,19
"712","1447314083",0,18
"713","1447319413",9,6
"714","1447331087",18,14
"715","1447368543",17,22
"716","1447427067",5,0
"717","1457307811",9,8
"718","1457328130",4,8
"719","1457328809",9,11
"720","1457332587",11,10
"721","1457342123",12,9
"722","1457345696",0,8
"723","1457348781",13,6
"724","1457370835",4,9
"725","1457383150",25,20
"726","1457400913",14,19
"727","1457442097",0,19
"728","1457455636",0,16
"729","1457464760",11,13
"730","1457464778",11,15
"731","1457508731",3,2
"732","1457519340",17,11
"733","1457548497",9,3
